x,y,z
-95.00,15.0000,-95.00
-95.00,13.1640,-85.00
-95.00,8.1060,-75.00
-95.00,1.0635,-65.00
-95.00,-6.2385,-55.00
-95.00,-12.0150,-45.00
-95.00,-14.8485,-35.00
-95.00,-14.0475,-25.00
-95.00,-9.8055,-15.00
-95.00,-3.1635,-5.00
-95.00,4.2510,5.00
-95.00,10.6275,15.00
-95.00,14.4015,25.00
-95.00,14.6490,35.00
-95.00,11.3100,45.00
-95.00,5.2020,55.00
-95.00,-2.1795,65.00
-95.00,-9.0270,75.00
-95.00,-13.6650,85.00
-85.00,24.5880,-95.00
-85.00,22.7520,-85.00
-85.00,17.6940,-75.00
-85.00,10.6515,-65.00
-85.00,3.3495,-55.00
-85.00,-2.4270,-45.00
-85.00,-5.2605,-35.00
-85.00,-4.4595,-25.00
-85.00,-.2175,-15.00
-85.00,6.4245,-5.00
-85.00,13.8390,5.00
-85.00,20.2155,15.00
-85.00,23.9895,25.00
-85.00,24.2370,35.00
-85.00,20.8980,45.00
-85.00,14.7900,55.00
-85.00,7.4085,65.00
-85.00,.5610,75.00
-85.00,-4.0770,85.00
-75.00,31.8280,-95.00
-75.00,29.9920,-85.00
-75.00,24.9340,-75.00
-75.00,17.8915,-65.00
-75.00,10.5895,-55.00
-75.00,4.8130,-45.00
-75.00,1.9795,-35.00
-75.00,2.7805,-25.00
-75.00,7.0225,-15.00
-75.00,13.6645,-5.00
-75.00,21.0790,5.00
-75.00,27.4555,15.00
-75.00,31.2295,25.00
-75.00,31.4770,35.00
-75.00,28.1380,45.00
-75.00,22.0300,55.00
-75.00,14.6485,65.00
-75.00,7.8010,75.00
-75.00,3.1630,85.00
-65.00,34.9480,-95.00
-65.00,33.1120,-85.00
-65.00,28.0540,-75.00
-65.00,21.0115,-65.00
-65.00,13.7095,-55.00
-65.00,7.9330,-45.00
-65.00,5.0995,-35.00
-65.00,5.9005,-25.00
-65.00,10.1425,-15.00
-65.00,16.7845,-5.00
-65.00,24.1990,5.00
-65.00,30.5755,15.00
-65.00,34.3495,25.00
-65.00,34.5970,35.00
-65.00,31.2580,45.00
-65.00,25.1500,55.00
-65.00,17.7685,65.00
-65.00,10.9210,75.00
-65.00,6.2830,85.00
-55.00,33.1840,-95.00
-55.00,31.3480,-85.00
-55.00,26.2900,-75.00
-55.00,19.2475,-65.00
-55.00,11.9455,-55.00
-55.00,6.1690,-45.00
-55.00,3.3355,-35.00
-55.00,4.1365,-25.00
-55.00,8.3785,-15.00
-55.00,15.0205,-5.00
-55.00,22.4350,5.00
-55.00,28.8115,15.00
